start	end	pos_1	strand	genes	promoter
2498355	2498355	2498355	-	alaC; pyrS	
2499894	2499894	2499894	+	pyrS; pyrR	
2509456	2509456	2509456	+	glk; yfeO	
2509931	2509931	2509931	-	glk; yfeO	
2510962	2510962	2510962	+	ypeC	
2512852	2512852	2512852	-	nupC; ypeD; mntH	
2513010	2513010	2513010	+	nupC; ypeD; mntH	
2517966	2517966	2517966	-	pdeA; yfeC; alaW; alaX	
2518255	2518255	2518255	-	pdeA; yfeC; yfeD; alaW; alaX	
2518408	2518408	2518408	+	pdeA; yfeC; yfeD; alaW; alaX	
2520772	2520772	2520772	-	gltX; lysV; valU; valX; valY	
2520783	2520783	2520783	-	gltX; lysV; valU; valX; valY	
2520921	2520921	2520921	+	gltX; lysV; valU; valX; valY	
2522564	2522564	2522564	-	xapR	
2525330	2525330	2525330	+	yfeN; xapA	
2525596	2525596	2525596	+	yfeN; xapA	
2526927	2526927	2526927	+	yfeH; yfeR	
2531425	2531425	2531425	+	cysZ; zipA	
2531551	2531551	2531551	-	cysZ; zipA	
2532344	2532344	2532344	+	cysK	
2533602	2533602	2533602	+	ptsH; ptsI	
2535453	2535453	2535453	+	crr; ptsI	
2535611	2535611	2535611	+	crr; ptsI	
2537308	2537308	2537308	+	pdxK; yfeK; yfeS	
2537318	2537318	2537318	-	pdxK; yfeK; yfeS	
2537591	2537591	2537591	+	pdxK; yfeK; yfeS	
2543557	2543557	2543557	-	cysP	
2544670	2544670	2544670	-	ucpA	
2545647	2545647	2545647	+	murR; murQ	
2545674	2545674	2545674	-	murR; murQ	
2552162	2552162	2552162	-	amiA; yfeZ; ypeA	
2552246	2552246	2552246	+	amiA; yfeZ; ypeA	
2557313	2557313	2557313	+	eutC	
2558810	2558810	2558810	-	eutB; intZ	
2558837	2558837	2558837	-	eutB; intZ	
2563581	2563581	2563581	+	yffQ; yffR	
2564007	2564007	2564007	+	yffQ; yffR; yffS	
2578498	2578498	2578498	-	talA; maeB	
2578519	2578519	2578519	+	talA; maeB	
2578793	2578793	2578793	-	talA; maeB	
2585569	2585569	2585569	+	narQ; aegA	
2590893	2590893	2590893	+	dapE; yffB; ypfM	
2590969	2590969	2590969	-	dapE; yffB; ypfM	
2596763	2596763	2596763	-	ypfJ	
2597781	2597781	2597781	-	purC	
2599783	2599783	2599783	-	bcp; dapA; gcvR	
2599880	2599880	2599880	+	bcp; dapA; gcvR	
2615821	2615821	2615821	+	yfgO; bepA	
2615915	2615915	2615915	-	yfgO; bepA	
2616027	2616027	2616027	+	yfgO; bepA	
2620908	2620908	2620908	-	purM; upp; uraA	
2621031	2621031	2621031	+	purM; upp	
2621154	2621154	2621154	+	purM; upp	
2622978	2622978	2622978	+	purN; ppk	
2629253	2629253	2629253	+	pdeF; yfgG; yfgH	
2629785	2629785	2629785	+	yfgG; yfgH; yfgI	
2630322	2630322	2630322	+	yfgH; yfgI	
2634106	2634106	2634106	-	guaB; xseA	
2634198	2634198	2634198	+	guaB; xseA	
2640641	2640641	2640641	-	hisS; sroE	
2644913	2644913	2644913	-	ndk; rlmN	
2652324	2652324	2652324	-	sseA; yfhM	
2652469	2652469	2652469	+	sseA; yfhM	
2653454	2653454	2653454	-	timR; timP; ryfA; C0614; IS128	
2653536	2653536	2653536	+	timR; timP; ryfA; C0614; IS128	
2653776	2653776	2653776	-	timR; timP; ryfA; C0614; IS128	
2653838	2653838	2653838	+	timR; timP; ryfA; C0614; IS128	
2653858	2653858	2653858	+	timR; timP; ryfA; C0614; IS128	
2661767	2661767	2661767	+	iscS; iscR	
2662199	2662199	2662199	-	iscS; iscR	
2663346	2663346	2663346	-	suhB; trmJ	
2663351	2663351	2663351	+	suhB; trmJ	
2663406	2663406	2663406	+	suhB; trmJ	
2665415	2665415	2665415	+	csiE	
2668967	2668967	2668967	-	hcaR; hcaE	
2673322	2673322	2673322	+	yphA	
2685571	2685571	2685571	-	glyA; hmp	
2685798	2685798	2685798	+	glyA; hmp	
2691122	2691122	2691122	-	glmY; glrK	
2691340	2691340	2691340	-	glmY; glrK	
2695588	2695588	2695588	-	purL; mltF	
2698421	2698421	2698421	+	pgpC; tadA; yfhH	
2698591	2698591	2698591	-	pgpC; tadA; yfhH	
2698708	2698708	2698708	+	pgpC; yfhH	
2700375	2700375	2700375	-	acpS; ryfB; ohsC; shoB; yfhL	
2700521	2700521	2700521	+	acpS; ryfB; ohsC; shoB	
2701812	2701812	2701812	-	pdxJ; recO	
2706973	2706973	2706973	+	lepA	
2707108	2707108	2707108	+	lepA; rseC	
2710088	2710088	2710088	-	nadB; rpoE; rseA; rseD	
2710229	2710229	2710229	-	nadB; rpoE; rseD	
2710337	2710337	2710337	-	nadB; rpoE; rseD	
2710393	2710393	2710393	+	nadB; rpoE; rseD	
2712801	2712801	2712801	-	srmB; yfiC	
2712879	2712879	2712879	+	srmB; yfiC	
2715679	2715679	2715679	+	grcA; yfiE; eamB	
2715789	2715789	2715789	+	grcA; yfiE; eamB	
2716520	2716520	2716520	-	ung; grcA	
2716687	2716687	2716687	+	ung; grcA	
2718553	2718553	2718553	-	yfiF; trxC; tapT	
2718666	2718666	2718666	-	yfiF; trxC; tapT	
2718685	2718685	2718685	+	yfiF; trxC; tapT	
2719932	2719932	2719932	+	tapT; patZ	
2722118	2722118	2722118	+	pssA; pssL; patZ	
2725810	2725810	2725810	-	kgtP; rrfG; yfiS	
2725836	2725836	2725836	+	kgtP; rrfG; yfiS	
2731333	2731333	2731333	-	rrsG	
2731448	2731448	2731448	-	rrsG	
2734294	2734294	2734294	-	clpB; yfiH; ryfD	
2735961	2735961	2735961	+	rluD; bamD	
2736071	2736071	2736071	+	rluD; bamD	
2736973	2736973	2736973	-	pheA; raiA; pheL; raiZ; G7353	
2737090	2737090	2737090	+	pheA; raiA; pheL; raiZ; G7353	
2737125	2737125	2737125	+	pheA; raiA; pheL; raiZ; G7353	
2737581	2737581	2737581	+	pheA; raiA; pheL; raiZ; G7353	
2741200	2741200	2741200	-	aroF; yfiL; yfiR	
2741349	2741349	2741349	+	aroF; yfiL; yfiR	
2741823	2741823	2741823	+	aroF; yfiL; dgcN; yfiR	
2746253	2746253	2746253	-	rpsP; rimM	
2747853	2747853	2747853	-	ffh; ypjD	
2750710	2750710	2750710	+	grpE; nadK	
2750745	2750745	2750745	-	grpE; nadK	
2750766	2750766	2750766	+	grpE; nadK	
2753469	2753469	2753469	+	bamE	
2754747	2754747	2754747	-	smpB; yfjF; ratA	
2754833	2754833	2754833	+	smpB; ssrA; yfjF; ratA	
2755586	2755586	2755586	+	smpB; intA; ssrA	
2756134	2756134	2756134	+	intA; ssrA	
2758657	2758657	2758657	-	alpA; yfjH; yfjI	
2765464	2765464	2765464	-	abpA; yfjM; rnlA	
2765481	2765481	2765481	-	abpA; yfjM; rnlA	
2765897	2765897	2765897	+	abpA; yfjM; rnlA	
2766638	2766638	2766638	+	rnlA; rnlB	
2767393	2767393	2767393	-	rnlB; yfjP	
2767454	2767454	2767454	-	rnlB; yfjP	
2772005	2772005	2772005	-	yfjU	
2773216	2773216	2773216	-	yfjV; yfjW	
2773287	2773287	2773287	+	yfjV; yfjW	
2775645	2775645	2775645	-	ypjI; lfgA; lfgB	
2781600	2781600	2781600	-	ypjA	
2788866	2788866	2788866	-	glaH	
2788928	2788928	2788928	+	glaH	
2790911	2790911	2790911	+	gabD; lhgD	
2796812	2796812	2796812	-	kbp; yqaE; ygaV; ygaP	
2797084	2797084	2797084	-	kbp; yqaE; ygaV; ygaP	
2797104	2797104	2797104	+	kbp; yqaE; ygaV; ygaP	
2798556	2798556	2798556	-	stpA; alaE	
2800091	2800091	2800091	-	ygaC; ygaM; nrdH	
2800121	2800121	2800121	+	ygaC; ygaM; nrdH	
2800657	2800657	2800657	+	ygaC; nrdE; ygaM; nrdH; nrdI	
2802936	2802936	2802936	-	nrdF; nrdE	
2804750	2804750	2804750	+	proV	
2809570	2809570	2809570	+	ygaZ; ygaH	
2814803	2814803	2814803	+	luxS; micA	
2815065	2815065	2815065	-	gshA; luxS; micA	
2816662	2816662	2816662	-	gshA; yqaA	
2816874	2816874	2816874	-	gshA; yqaA; yqaB	
2818700	2818700	2818700	-	csrA; argV; argY; argZ; serV	
2819272	2819272	2819272	-	csrA; argV; serV	
2822089	2822089	2822089	-	alaS; recX	
2823817	2823817	2823817	-	recA; pncC	
2824358	2824358	2824358	-	recA; pncC	
2824413	2824413	2824413	-	recA; pncC	
2825606	2825606	2825606	-	srlE; mltB; srlA	
2825792	2825792	2825792	+	srlE; mltB; srlA	
2828989	2828989	2828989	+	gutM; srlR	
2832309	2832309	2832309	-	norR; norV	
2839285	2839285	2839285	-	ascF; ascG	
2852779	2852779	2852779	+	hypD; hypE	
2853474	2853474	2853474	+	hypE	
2857025	2857025	2857025	+	mutS; ygbA	
2861255	2861255	2861255	-	ygbI; ygbJ	
2861394	2861394	2861394	+	ygbI; ygbJ	
2862435	2862435	2862435	+	ygbK	
2868117	2868117	2868117	-	rpoS; nlpD	
2870618	2870618	2870618	-	umpG; truD	
2872900	2872900	2872900	-	ygbE; ispD; ftsB	
2873387	2873387	2873387	-	cysC; ygbE; ftsB	
2876369	2876369	2876369	-	cysD; iap	
2891962	2891962	2891962	-	cysJ; queD; ygcN	
2892191	2892191	2892191	+	cysJ; queD; ygcN	
2905441	2905441	2905441	-	yqcG; queE; ygcG	
2909719	2909719	2909719	-	pyrG	
2913829	2913829	2913829	-	relA; rlmD	
2914277	2914277	2914277	-	relA; rlmD; barA	
2914761	2914761	2914761	+	rlmD; barA	
2914964	2914964	2914964	+	rlmD; barA	
2915028	2915028	2915028	-	rlmD; barA	
2924523	2924523	2924523	-	csrB; truC; yqcC; syd	
2925312	2925312	2925312	-	csrB; syd; queF	
2925320	2925320	2925320	+	csrB; syd; queF	
2926273	2926273	2926273	+	ppnN	
2928103	2928103	2928103	+	sdaC	
2930885	2930885	2930885	+	sdaB; ygdG	
2931035	2931035	2931035	+	ygdG	
2933222	2933222	2933222	-	fucA; fucO	
2938719	2938719	2938719	+	fucK; fucR; fucU	
2943192	2943192	2943192	+	gcvA; gcvB; ygdI; csdA	
2943212	2943212	2943212	-	gcvA; gcvB; ygdI; csdA	
2947210	2947210	2947210	+	metV; metZ; metW; mltA	
2947258	2947258	2947258	-	metV; metZ; metW; mltA	
2947383	2947383	2947383	+	metV; metZ; metW; mltA	
2949177	2949177	2949177	+	argA; amiC	
2949184	2949184	2949184	-	argA; amiC	
2963253	2963253	2963253	-	ppdC; ygdB; ppdB	
2968986	2968986	2968986	-	mutH; ptsP; ygdT; rppH	
2969665	2969665	2969665	+	mutH; ygdT; rppH; ygdQ	
2971239	2971239	2971239	+	ygdR; tas	
2971566	2971566	2971566	+	ygdR; tas	
2974559	2974559	2974559	-	aas; lplT	
2976049	2976049	2976049	-	galR; aas; omrA; omrB	
2976188	2976188	2976188	-	galR; aas; omrA; omrB	
2976384	2976384	2976384	-	galR; aas; omrA; omrB	
2976570	2976570	2976570	+	galR; aas; omrA; omrB	
2978926	2978926	2978926	-	lysA; lysR	
2980709	2980709	2980709	-	ygeA	
2982209	2982209	2982209	-	araE	
2984186	2984186	2984186	-	kduI	
2985612	2985612	2985612	-	yqeF; yqeG	
2999068	2999068	2999068	-	glyU; ygeQ	
3000254	3000254	3000254	-	actS; xdhA	
3005846	3005846	3005846	-	ygeV; ygeW	
3015059	3015059	3015059	+	yqeC; mocA	
3015219	3015219	3015219	-	yqeC; mocA	
3025669	3025669	3025669	-	xanQ; guaD	
3033042	3033042	3033042	+	yqfG; yqfH; idi	
3036324	3036324	3036324	-	prfB	
3039796	3039796	3039796	-	xerD; fldB	
3039823	3039823	3039823	+	xerD; fldB	
3041262	3041262	3041262	-	ygfX; sdhE; ygfZ	
3041283	3041283	3041283	+	ygfX; sdhE; ygfZ	
3043192	3043192	3043192	-	bglA; trhA; yqfB	
3043640	3043640	3043640	+	bglA; trhA; yqfB	
3043653	3043653	3043653	-	bglA; trhA; yqfB	
3050775	3050775	3050775	-	gcvT; yqfI	
3055472	3055472	3055472	-	pepP; fau; ygfB; zapA; ssrS	
3055490	3055490	3055490	+	pepP; fau; ygfB; zapA; ssrS	
3055760	3055760	3055760	+	fau; ygfB; zapA; ssrS	
3055975	3055975	3055975	+	fau; ygfB; zapA; ssrS	
3056852	3056852	3056852	+	fau; ibsC; sibC	
3058455	3058455	3058455	-	serA	
3059352	3059352	3059352	-	argP; rpiA; yqfE	
3059457	3059457	3059457	-	argP; rpiA; yqfE	
3059730	3059730	3059730	+	argP; rpiA; yqfE	
3067016	3067016	3067016	+	och5; srsR	
3068126	3068126	3068126	-	argO; yggE	
3068835	3068835	3068835	-	argO; yggE	
3069871	3069871	3069871	-	mscS	
3073822	3073822	3073822	-	epd	
3073942	3073942	3073942	-	epd; yggC	
3074164	3074164	3074164	-	epd; yggC	
3075229	3075229	3075229	-	yggC; fumE; yggF	
3081714	3081714	3081714	-	loiP; tktA	
3081848	3081848	3081848	+	loiP; tktA	
3086409	3086409	3086409	-	metK; speA; yqgG; yqgB; yqgC; yqgD	
3086568	3086568	3086568	+	metK; speA; yqgG; yqgB; yqgC; yqgD	
3088191	3088191	3088191	+	galP	
3091109	3091109	3091109	+	gshB; endA; rsmE	
3091498	3091498	3091498	+	gshB; rsmE	
3095062	3095062	3095062	+	yggR; yggS; yggT	
3102989	3102989	3102989	+	mutY; trmB	
3103101	3103101	3103101	-	mutY; trmB	
3103470	3103470	3103470	+	mutY; trmB; yggX	
3103975	3103975	3103975	-	mutY; yggX; mltC	
3105652	3105652	3105652	+	nupG	
3109258	3109258	3109258	-	speC; yqgH; yqgA	
3109528	3109528	3109528	+	speC; yqgH; yqgA	
3110303	3110303	3110303	+	pheV; yqgA	
3111227	3111227	3111227	+	yqhJ; yghD; yghE	
3113948	3113948	3113948	-	yghG; pppA	
3119279	3119279	3119279	-	yghJ	
3120986	3120986	3120986	+	C0719; glcA	
3128076	3128076	3128076	-	glcD; glcC	
3128204	3128204	3128204	+	glcD; glcC	
3138609	3138609	3138609	-	gss; yghU	
3138701	3138701	3138701	+	gss; yghU	
3141503	3141503	3141503	-	hybC; hybD; hybE	
3143002	3143002	3143002	-	hybB; hybC	
3146287	3146287	3146287	-	hybO; yghW	
3147766	3147766	3147766	-	yqhI; yghX; gpr	
3147863	3147863	3147863	+	yqhI; yghX; gpr	
3149495	3149495	3149495	-	yghA; yqhA	
3149637	3149637	3149637	+	yghA; yqhA	
3152015	3152015	3152015	-	exbB; exbD; metC; G7562	
3152209	3152209	3152209	+	exbB; metC; G7562	
3155189	3155189	3155189	-	yqhC; yqhD	
3155304	3155304	3155304	+	yqhC; yqhD	
3156529	3156529	3156529	+	dkgA	
3158190	3158190	3158190	-	yqhG; yqhH	
3162705	3162705	3162705	+	ftsP; plsC	
3162916	3162916	3162916	-	ftsP; plsC	
3166020	3166020	3166020	-	parC	
3167745	3167745	3167745	-	ygiS; mqsA; mqsR	
3168561	3168561	3168561	-	mqsA; mqsR; ygiV	
3169708	3169708	3169708	-	qseC; ygiV; ygiW; qseB	
3172505	3172505	3172505	+	mdaB; ygiN; ygiZ	
3173121	3173121	3173121	+	mdaB; ygiN	
3177028	3177028	3177028	-	cpdA; yqiB	
3177514	3177514	3177514	-	tolC; nudF; cpdA; yqiB	
3177867	3177867	3177867	+	tolC; nudF; yqiB	
3178298	3178298	3178298	-	tolC; nudF	
3178353	3178353	3178353	-	tolC; nudF	
3179718	3179718	3179718	+	ygiA; ygiB; ygiC	
3182425	3182425	3182425	+	ygiD; zupT	
3184717	3184717	3184717	-	ribB; ygiL; sroG; ubiK	
3184799	3184799	3184799	+	ribB; ygiL; sroG; ubiK	
3184814	3184814	3184814	+	ribB; ygiL; sroG; ubiK	
3192003	3192003	3192003	-	glgS; yqiJ	
3194864	3194864	3194864	-	sibE; ibsE; ibsD; sibD	
3195239	3195239	3195239	-	sibE; ibsE; ibsD; sibD	
3199800	3199800	3199800	-	glnE; ygiF	
3201036	3201036	3201036	-	ygiF; ygiM	
3201086	3201086	3201086	+	ygiF; ygiM	
3201867	3201867	3201867	+	cca; ygiM	
3204585	3204585	3204585	+	bacA; folB; plsY	
3204636	3204636	3204636	-	bacA; folB; plsY	
3204656	3204656	3204656	+	bacA; folB; plsY	
3210647	3210647	3210647	+	dnaG; rpsU; tsaD	
3210717	3210717	3210717	+	dnaG; rpsU; tsaD	
3210784	3210784	3210784	-	dnaG; rpsU; tsaD	
3212475	3212475	3212475	+	dnaG; rpoD	
3216506	3216506	3216506	-	nfeF; nfeR	
3219460	3219460	3219460	+	aer; patA	
3221254	3221254	3221254	-	ebgR; ygjH	
3221438	3221438	3221438	+	ebgR; ygjH	
3231625	3231625	3231625	+	fadH	
3235920	3235920	3235920	-	rlmG; ygjP; ygjQ	
3237283	3237283	3237283	+	ygjQ; ygjR	
3238375	3238375	3238375	+	sraF; alx	
3239864	3239864	3239864	+	sstT	
3241778	3241778	3241778	-	ygjV	
3243610	3243610	3243610	-	uxaA; uxaC	
3244786	3244786	3244786	-	exuT; uxaC	
3246625	3246625	3246625	+	exuR	
3247606	3247606	3247606	+	yqiM; yqjA	
3248889	3248889	3248889	+	mzrA; yqjC; yqjD; yqjE	
3250985	3250985	3250985	+	yqjF; yqjG	
3252264	3252264	3252264	+	yhaH; yhaI	
3254279	3254279	3254279	-	yhaJ; yhaK; yhaL	
3270592	3270592	3270592	-	rnpB	
3275236	3275236	3275236	+	garD; garP	
3276973	3276973	3276973	+	prlF; yhaV	
3278322	3278322	3278322	-	agaR; kbaZ	
3278323	3278323	3278323	-	agaR; kbaZ	
3278704	3278704	3278704	-	agaR; kbaZ	
3289905	3289905	3289905	-	yraJ	
3293370	3293370	3293370	+	rsmI; lpoA	
3293568	3293568	3293568	-	rsmI; lpoA	
3298143	3298143	3298143	-	yraQ; yraR	
3298909	3298909	3298909	+	yraQ; yraR; yhbO	
3298911	3298911	3298911	-	yraQ; yraR; yhbO	
3299935	3299935	3299935	-	yhbP; yhbQ	
3301611	3301611	3301611	-	ubiT; ubiU	
3303432	3303432	3303432	+	yhbW	
3305859	3305859	3305859	-	mtr	
3308698	3308698	3308698	-	nlpI; yrbN	
3311786	3311786	3311786	-	pnp; rpsO; sraG	
3313035	3313035	3313035	+	truB; rbfA	
3318175	3318175	3318175	-	argG; nusA; rimP; metY	
3318197	3318197	3318197	+	argG; nusA; rimP; metY	
3318374	3318374	3318374	-	argG; rimP; metY	
3318561	3318561	3318561	+	argG; rimP; metY	
3320295	3320295	3320295	-	yhbX	
3320372	3320372	3320372	-	yhbX	
3322590	3322590	3322590	-	secG; leuU	
3327760	3327760	3327760	+	rlmE; yhbY	
3328336	3328336	3328336	-	dacB; greA; rlmE; yhbY	
3328851	3328851	3328851	-	dacB; greA	
3328937	3328937	3328937	+	dacB; greA	
3330682	3330682	3330682	-	obgE	
3330961	3330961	3330961	-	obgE	
3333513	3333513	3333513	+	ispB; yhbE; rplU; rpmA	
3333516	3333516	3333516	-	ispB; yhbE; rplU; rpmA	
3336663	3336663	3336663	-	murA; ibaG; mlaB	
3340212	3340212	3340212	+	mlaF; yrbG	
3340243	3340243	3340243	-	mlaF; yrbG	
3348426	3348426	3348426	+	npr; yrbL	
3350578	3350578	3350578	+	elbB; arcZ; mtgA	
3353048	3353048	3353048	-	arcB	
3354062	3354062	3354062	+	gltB; G0-10702; yhcC	
3354512	3354512	3354512	+	gltB; G0-10702; yhcC	
3366951	3366951	3366951	+	insH10; yhcF	
3367768	3367768	3367768	-	G0-10703; yhcG	
3369854	3369854	3369854	-	nanQ; nanK	
3374517	3374517	3374517	-	nanR; dcuD	
3377565	3377565	3377565	-	rpsI; sspA; sspB	
3378807	3378807	3378807	-	rplM; rpsI	
3380058	3380058	3380058	-	zapE; yhcB; degQ	
3380127	3380127	3380127	+	zapE; yhcB; degQ	
3380654	3380654	3380654	+	zapE; yhcB; degQ	
3384471	3384471	3384471	-	argR; mdh	
3384678	3384678	3384678	+	argR; mdh	
3386168	3386168	3386168	-	yhcN; yhcO	
3388944	3388944	3388944	+	aaeB; aaeA; aaeX; aaeR	
3392133	3392133	3392133	-	tldD	
3398347	3398347	3398347	-	mreD; yhdE; rng	
3401354	3401354	3401354	-	mreB	
3403231	3403231	3403231	+	csrD; yhdH	
3403422	3403422	3403422	-	csrD; yhdH	
3405140	3405140	3405140	+	accB; accC; yrdE; yrdF; b3254	
3407332	3407332	3407332	+	panF; yhdT	
3410247	3410247	3410247	+	dusB	
3412590	3412590	3412590	+	yhdU	
3418919	3418919	3418919	+	yhdW; yhdV	
3423538	3423538	3423538	-	rrfD; rrfF; thrV	
3428939	3428939	3428939	-	rrsD; yrdA	
3429048	3429048	3429048	-	rrsD; yrdA	
3429212	3429212	3429212	+	rrsD; yrdA	
3431974	3431974	3431974	-	smg; tsaC; yrdD	
3432602	3432602	3432602	-	smf; smg; yrdD	
3433632	3433632	3433632	-	fmt; def; smf	
3433651	3433651	3433651	+	fmt; def; smf	
3438002	3438002	3438002	+	mscL; arfA; yrdG	
3439127	3439127	3439127	-	zntR; yhdN; arfA; yrdG	
3439537	3439537	3439537	-	rplQ; zntR; yhdN	
3442564	3442564	3442564	-	rpsK; rpsM; rpmJ	
3448223	3448223	3448223	-	rplE; rplN; rplX; rpmC; rpsQ	
3448452	3448452	3448452	-	rplN; rplP; rplX; rpmC; rpsQ	
3453441	3453441	3453441	-	rplC; rpsJ; gspB	
3466747	3466747	3466747	-	bfr; bfd	
3466980	3466980	3466980	+	bfr; bfd	
3466999	3466999	3466999	-	bfr; bfd	
3474619	3474619	3474619	-	rpsG; rpsL; tusB; tusC	
3476506	3476506	3476506	-	tusD; yheO	
3476540	3476540	3476540	-	yheO	
3477467	3477467	3477467	-	slyX; fkpA	
3477473	3477473	3477473	+	slyX; fkpA	
3477525	3477525	3477525	-	slyX; fkpA	
3478558	3478558	3478558	-	slyD; yheV	
3481219	3481219	3481219	+	yheS; kefB; kefG	
3481235	3481235	3481235	-	yheS; kefB; kefG	
3483978	3483978	3483978	+	prkB; yheT; yheU	
3485951	3485951	3485951	-	crp; yhfA; ascrp	
3485954	3485954	3485954	+	crp; yhfA; ascrp	
3490221	3490221	3490221	-	argD; pabA; yrfJ	
3491647	3491647	3491647	-	fic; ppiA; yhfG	
3492375	3492375	3492375	-	ppiA; tsgA; yhfG	
3492521	3492521	3492521	+	ppiA; tsgA	
3493988	3493988	3493988	+	nirB	
3497471	3497471	3497471	+	cysG; nirC	
3497748	3497748	3497748	+	cysG; nirC	
3499441	3499441	3499441	+	frlA; yhfL	
3504026	3504026	3504026	+	frlR	
3512366	3512366	3512366	-	yhfZ	
3515985	3515985	3515985	-	dam	
3517598	3517598	3517598	-	aroB; damX	
3519166	3519166	3519166	-	aroB; aroK	
3519380	3519380	3519380	-	aroK	
3522825	3522825	3522825	+	mrcA; hofM	
3526231	3526231	3526231	-	nudE; igaA	
3526238	3526238	3526238	+	nudE; igaA	
3532680	3532680	3532680	+	pck; yhgE	
3536638	3536638	3536638	+	envZ; ompR; greB; asompR; yhgF	
3536949	3536949	3536949	-	ompR; greB; asompR; yhgF	
3540059	3540059	3540059	+	feoA; feoB	
3544874	3544874	3544874	-	bioH; yhgH; nfuA	
3545183	3545183	3545183	+	bioH; yhgH; nfuA	
3546406	3546406	3546406	+	gntT; nfuA	
3552509	3552509	3552509	-	malP; malT	
3552739	3552739	3552739	+	malP; malT	
3558132	3558132	3558132	-	rtcR; rtcB	
3561859	3561859	3561859	-	glpD; glpE; glpG	
3561907	3561907	3561907	+	glpD; glpE; glpG	
3566003	3566003	3566003	-	glgP	
3574660	3574660	3574660	+	asd; yhgN	
3574937	3574937	3574937	-	asd; yhgN	
3577642	3577642	3577642	-	gntK; gntU	
3578811	3578811	3578811	-	gntR	
3578837	3578837	3578837	+	gntR	
3580828	3580828	3580828	-	ryhB; yhhX; yhhY	
3581015	3581015	3581015	-	ryhB; yhhX; yhhY	
3586853	3586853	3586853	-	ggt; yhhA	
3586921	3586921	3586921	+	ggt; yhhA	
3588345	3588345	3588345	-	ugpC; ugpQ	
3592425	3592425	3592425	-	ugpB	
3597744	3597744	3597744	-	livK; panZ	
3599761	3599761	3599761	-	livJ	
3600862	3600862	3600862	-	rpoH	
3601003	3601003	3601003	-	rpoH	
3604328	3604328	3604328	+	rsmD; ftsY; yhhL	
3604378	3604378	3604378	-	rsmD; ftsY; yhhL	
3605608	3605608	3605608	-	yhhL; yhhM; yhhN	
3605701	3605701	3605701	+	yhhL; yhhM; yhhN; zntA	
3606442	3606442	3606442	+	yhhN; zntA	
3609020	3609020	3609020	-	tusA; yhhQ	
3609121	3609121	3609121	+	tusA; yhhQ	
3609918	3609918	3609918	+	yhhQ; dcrB	
3611758	3611758	3611758	-	yhhS; yhhT	
3611849	3611849	3611849	+	yhhS; yhhT	
3618538	3618538	3618538	+	rhsB; nikR; nikE	
3619163	3619163	3619163	-	rhsB; nikR	
3630928	3630928	3630928	-	yhiI; yhiY	
3637405	3637405	3637405	+	rdsA; pitA	
3637436	3637436	3637436	-	rdsA; pitA	
3637503	3637503	3637503	-	rdsA; pitA	
3637579	3637579	3637579	+	rdsA; pitA	
3639845	3639845	3639845	-	uspA; uspB	
3639938	3639938	3639938	+	uspA; uspB; yriA; yriB	
3639985	3639985	3639985	+	uspA; uspB; yriA; yriB	
3640839	3640839	3640839	+	uspA; dtpB; yriA; yriB	
3645248	3645248	3645248	-	prlC; rlmJ	
3645325	3645325	3645325	+	prlC; rlmJ	
3647981	3647981	3647981	-	arsR; agrA; agrB; dinQ	
3653949	3653949	3653949	+	dctR; slp; insH11	
3656790	3656790	3656790	-	hdeA; hdeB; hdeD	
3656961	3656961	3656961	+	hdeA; hdeB; hdeD	
3657801	3657801	3657801	+	gadE; arrS	
3664621	3664621	3664621	-	gadW; gadY	
3664777	3664777	3664777	+	gadW; gadY	
3664865	3664865	3664865	+	gadW; gadY	
3665840	3665840	3665840	-	gadX	
3665850	3665850	3665850	+	gadX	
3667607	3667607	3667607	-	gadA	
3669550	3669550	3669550	+	ccp; treF	
3669571	3669571	3669571	+	ccp; treF	
3673332	3673332	3673332	+	yhjD	
3674760	3674760	3674760	+	yhjE	
3678379	3678379	3678379	-	yhjG	
3679297	3679297	3679297	+	pdeH; kdgK	
3683497	3683497	3683497	-	dctA	
3685646	3685646	3685646	-	pdeK	
3686202	3686202	3686202	-	pdeK; bcsC	
3686304	3686304	3686304	-	pdeK; bcsC	
3696352	3696352	3696352	+	bcsQ; yhjR; bcsE	
3696363	3696363	3696363	-	bcsQ; yhjR; bcsE	
3696398	3696398	3696398	+	bcsQ; yhjR; bcsE	
3700095	3700095	3700095	-	yhjV; ldrD; rdlD	
3700137	3700137	3700137	+	yhjV; ldrD; rdlD	
3707870	3707870	3707870	-	dppA	
3707888	3707888	3707888	+	dppA	
3708697	3708697	3708697	-	proK	
3708851	3708851	3708851	-	eptB; proK	
3710582	3710582	3710582	-	eptB	
3712743	3712743	3712743	+	tag; yhjX; yhjY	
3713010	3713010	3713010	-	tag; yhjY; yiaC	
3716501	3716501	3716501	+	bisC; yiaD	
3716511	3716511	3716511	-	bisC; yiaD; ghrB	
3717288	3717288	3717288	+	yiaD; ghrB	
3719096	3719096	3719096	-	yiaF; yiaG	
3719432	3719432	3719432	+	cspA; yiaF; yiaG	
3719889	3719889	3719889	+	cspA; yiaG; insJK; mokA; ysaE; hokA; insJ	
3722550	3722550	3722550	-	glyS; sokA	
3724565	3724565	3724565	-	glyQ; glyS	
3725353	3725353	3725353	-	glyQ; wecH; ysaB	
3725792	3725792	3725792	-	glyQ; wecH; ysaB	
3729963	3729963	3729963	-	xylA; xylB; xylZ	
3730832	3730832	3730832	-	xylA; xylF	
